,model,type,elapsed,mse
0,linstorch(1.0),linstorch,0.0269925594329834,0.8042612075805664
1,linstorch(1.0),linstorch,0.02699899673461914,0.28679853677749634
2,linstorch(1.0),linstorch,0.001999378204345703,0.37774649262428284
3,linstorch(1.0),linstorch,0.016999006271362305,0.5732779502868652
4,linstorch(1.0),linstorch,0.009998321533203125,0.3290146589279175
5,linstorch(1.0),linstorch,0.0029985904693603516,0.35091570019721985
6,linstorch(1.0),linstorch,0.006001472473144531,0.20097273588180542
7,linstorch(1.0),linstorch,0.014000654220581055,0.19630348682403564
8,linstorch(1.0),linstorch,0.006000518798828125,0.3303549289703369
9,linstorch(1.0),linstorch,0.0030002593994140625,0.19237501919269562
10,linstorch(1.0),linstorch,0.002998828887939453,0.34547072649002075
11,linstorch(1.0),linstorch,0.04700112342834473,0.5752631425857544
12,linstorch(1.0),linstorch,0.003997325897216797,0.25140878558158875
13,linstorch(1.0),linstorch,0.0029976367950439453,0.29796138405799866
14,linstorch(1.0),linstorch,0.004003763198852539,0.5655466914176941
15,linstorch(1.0),linstorch,0.007995843887329102,0.33067426085472107
16,linstorch(1.0),linstorch,0.002997159957885742,0.3116483688354492
17,linstorch(1.0),linstorch,0.013999223709106445,0.4098602533340454
18,linstorch(1.0),linstorch,0.0030007362365722656,0.5849059224128723
19,linstorch(1.0),linstorch,0.025998353958129883,0.294507771730423
20,linstorch(1.0),linstorch,0.006003856658935547,0.36220312118530273
21,linstorch(1.0),linstorch,0.0029969215393066406,0.45581385493278503
22,linstorch(1.0),linstorch,0.010997772216796875,0.6074349284172058
23,linstorch(1.0),linstorch,0.0030014514923095703,0.3585341274738312
24,linstorch(1.0),linstorch,0.005997657775878906,0.4761062264442444
25,linstorch(1.0),linstorch,0.0029997825622558594,0.2441694736480713
26,linstorch(1.0),linstorch,0.00699925422668457,0.45988181233406067
27,linstorch(1.0),linstorch,0.03200221061706543,0.5246307849884033
28,linstorch(1.0),linstorch,0.006001472473144531,0.5421256422996521
29,linstorch(1.0),linstorch,0.016000747680664062,0.40037333965301514
30,linstorch(1.0),linstorch,0.011997222900390625,0.3030618131160736
31,linstorch(1.0),linstorch,0.007999420166015625,0.8113169074058533
32,linstorch(1.0),linstorch,0.0030007362365722656,0.2564539611339569
33,linstorch(1.0),linstorch,0.005998373031616211,0.381740003824234
34,linstorch(1.0),linstorch,0.010998010635375977,0.23283837735652924
35,linstorch(1.0),linstorch,0.00500035285949707,0.3796858489513397
36,linstorch(1.0),linstorch,0.01700115203857422,0.3935876190662384
37,linstorch(1.0),linstorch,0.005999088287353516,0.9817137122154236
38,linstorch(1.0),linstorch,0.0049991607666015625,0.325190007686615
39,linstorch(1.0),linstorch,0.013999462127685547,0.44438520073890686
40,linstorch(1.0),linstorch,0.010002613067626953,0.44031792879104614
41,linstorch(1.0),linstorch,0.0029990673065185547,0.24209564924240112
42,linstorch(1.0),linstorch,0.009003162384033203,0.3367440402507782
43,linstorch(1.0),linstorch,0.0029973983764648438,0.28417375683784485
44,linstorch(1.0),linstorch,0.0060007572174072266,0.4653782844543457
45,linstorch(1.0),linstorch,0.00500178337097168,0.19662518799304962
46,linstorch(1.0),linstorch,0.004001617431640625,0.35253003239631653
47,linstorch(1.0),linstorch,0.005997896194458008,0.3356308937072754
48,linstorch(1.0),linstorch,0.0020017623901367188,0.4265749752521515
49,linstorch(1.0),linstorch,0.0069980621337890625,0.5653004050254822
50,linstorch(1.0),linstorch,0.00800013542175293,0.31087377667427063
51,linstorch(1.0),linstorch,0.0059967041015625,0.34092265367507935
52,linstorch(1.0),linstorch,0.0030024051666259766,0.5225071310997009
53,linstorch(1.0),linstorch,0.006000995635986328,0.3574107885360718
54,linstorch(1.0),linstorch,0.005998849868774414,0.38381609320640564
55,linstorch(1.0),linstorch,0.00500178337097168,0.30390265583992004
56,linstorch(1.0),linstorch,0.003000020980834961,0.6014503836631775
57,linstorch(1.0),linstorch,0.005999088287353516,0.34939223527908325
58,linstorch(1.0),linstorch,0.007998943328857422,0.35416164994239807
59,linstorch(1.0),linstorch,0.013000011444091797,0.24300236999988556
60,linstorch(1.0),linstorch,0.018001556396484375,0.7329285740852356
61,linstorch(1.0),linstorch,0.0070002079010009766,0.3641907572746277
