,model,type,elapsed,mse
0,linear_regression,linear_regression,0.00217437744140625,0.12794684
1,linstorch(0.14),linstorch,0.0028498172760009766,0.12794694
2,linstorch(0.14),linstorch,0.000997781753540039,0.12794696
3,linstorch(0.14),linstorch,0.000997304916381836,0.12794694
4,linstorch(0.14),linstorch,0.0019087791442871094,0.12794727
5,linstorch(0.14),linstorch,0.0021142959594726562,0.1279469
6,linstorch(0.14),linstorch,0.0019922256469726562,0.12794691
7,linstorch(0.14),linstorch,0.003989458084106445,0.12794697
8,linstorch(0.14),linstorch,0.002991914749145508,0.12794697
9,linstorch(0.14),linstorch,0.002992391586303711,0.12794712
10,linstorch(0.14),linstorch,0.0029532909393310547,0.12794702
11,linstorch(0.14),linstorch,0.0030307769775390625,0.12794694
12,linstorch(0.14),linstorch,0.0022895336151123047,0.12794812
13,linstorch(0.14),linstorch,0.002989053726196289,0.127947
14,linstorch(0.14),linstorch,0.0033109188079833984,0.12794688
15,linstorch(0.14),linstorch,0.0016751289367675781,0.12794702
16,linstorch(0.14),linstorch,0.001994609832763672,0.12794647
17,linstorch(0.14),linstorch,0.001994609832763672,0.127947
18,linstorch(0.14),linstorch,0.0029921531677246094,0.12794715
19,linstorch(0.14),linstorch,0.002992391586303711,0.12794703
20,linstorch(0.14),linstorch,0.0027856826782226562,0.12794688
21,linstorch(0.14),linstorch,0.0019943714141845703,0.127947
22,linstorch(0.14),linstorch,0.001993417739868164,0.12794706
23,linstorch(0.14),linstorch,0.002329587936401367,0.12794718
24,linstorch(0.14),linstorch,0.0019078254699707031,0.12794685
25,linstorch(0.14),linstorch,0.0019948482513427734,0.1279471
26,linstorch(0.14),linstorch,0.0019943714141845703,0.12794697
27,linstorch(0.14),linstorch,0.0019943714141845703,0.11067062
28,linstorch(0.14),linstorch,0.0019948482513427734,0.12794723
29,linstorch(0.14),linstorch,0.002087116241455078,0.12794697
30,linstorch(0.14),linstorch,0.0022869110107421875,0.12794714
31,linstorch(0.14),linstorch,0.0019953250885009766,0.124148145
32,linstorch(0.14),linstorch,0.0019941329956054688,0.103466086
33,linstorch(0.14),linstorch,0.001994609832763672,0.11833195
34,linstorch(0.14),linstorch,0.0019948482513427734,0.12082902
35,linstorch(0.14),linstorch,0.0019943714141845703,0.12794721
36,linstorch(0.14),linstorch,0.0019948482513427734,0.127947
37,linstorch(0.14),linstorch,0.0019953250885009766,0.12794697
38,linstorch(0.14),linstorch,0.0020363330841064453,0.1279468
39,linstorch(0.14),linstorch,0.005983114242553711,0.12794712
40,linstorch(0.14),linstorch,0.0019936561584472656,0.123191394
41,linstorch(0.14),linstorch,0.0029935836791992188,0.12794706
42,linstorch(0.14),linstorch,0.00299072265625,0.12794688
43,linstorch(0.14),linstorch,0.0029916763305664062,0.12794708
44,linstorch(0.14),linstorch,0.0029916763305664062,0.1279471
45,linstorch(0.14),linstorch,0.002021312713623047,0.11092748
46,linstorch(0.14),linstorch,0.0019936561584472656,0.12794694
47,linstorch(0.14),linstorch,0.002991914749145508,0.12794691
48,linstorch(0.14),linstorch,0.003075838088989258,0.1279467
49,linstorch(0.14),linstorch,0.0023779869079589844,0.12794697
50,linstorch(0.14),linstorch,0.0019381046295166016,0.12794688
51,linstorch(0.14),linstorch,0.002434968948364258,0.1279468
52,linstorch(0.14),linstorch,0.0020952224731445312,0.12794697
53,linstorch(0.14),linstorch,0.0021507740020751953,0.12794678
54,linstorch(0.14),linstorch,0.0022869110107421875,0.12136176
55,linstorch(0.14),linstorch,0.0026993751525878906,0.12794682
56,linstorch(0.14),linstorch,0.0029921531677246094,0.1279472
57,linstorch(0.14),linstorch,0.0019943714141845703,0.12794693
58,linstorch(0.14),linstorch,0.0019943714141845703,0.12794696
59,linstorch(0.14),linstorch,0.002087831497192383,0.12794712
60,linstorch(0.14),linstorch,0.001994609832763672,0.12794673
61,linstorch(0.14),linstorch,0.003273487091064453,0.12794697
62,linstorch(0.14),linstorch,0.0024962425231933594,0.1012779
63,linstorch(0.14),linstorch,0.002992868423461914,0.12794691
64,linstorch(0.14),linstorch,0.002421140670776367,0.12794697
65,linstorch(0.14),linstorch,0.0030486583709716797,0.127947
66,linstorch(0.14),linstorch,0.0019378662109375,0.12794636
67,linstorch(0.14),linstorch,0.0019941329956054688,0.12794715
68,linstorch(0.14),linstorch,0.002991914749145508,0.127947
69,linstorch(0.14),linstorch,0.001995563507080078,0.12794738
70,linstorch(0.14),linstorch,0.0019948482513427734,0.12794697
71,linstorch(0.14),linstorch,0.001995086669921875,0.127947
72,linstorch(0.14),linstorch,0.0019943714141845703,0.12794697
73,linstorch(0.14),linstorch,0.002992391586303711,0.12794763
74,linstorch(0.14),linstorch,0.0029916763305664062,0.12794706
75,linstorch(0.14),linstorch,0.0027549266815185547,0.12794691
76,linstorch(0.14),linstorch,0.001994609832763672,0.1279468
77,linstorch(0.14),linstorch,0.002858877182006836,0.12794697
78,linstorch(0.14),linstorch,0.0029921531677246094,0.125029
79,linstorch(0.14),linstorch,0.002991914749145508,0.1279467
80,linstorch(0.14),linstorch,0.0019943714141845703,0.12794694
81,linstorch(0.14),linstorch,0.0029921531677246094,0.12448695
82,linstorch(0.14),linstorch,0.0029926300048828125,0.12794697
83,linstorch(0.14),linstorch,0.0019943714141845703,0.12794682
84,linstorch(0.14),linstorch,0.001994609832763672,0.127947
85,linstorch(0.14),linstorch,0.0017652511596679688,0.1279474
86,linstorch(0.14),linstorch,0.001996278762817383,0.12794665
87,linstorch(0.14),linstorch,0.0029900074005126953,0.1279469
88,linstorch(0.14),linstorch,0.0019948482513427734,0.12794688
89,linstorch(0.14),linstorch,0.0024995803833007812,0.124154456
90,linstorch(0.14),linstorch,0.001994609832763672,0.1279467
91,linstorch(0.14),linstorch,0.0019948482513427734,0.1279474
92,linstorch(0.14),linstorch,0.002992391586303711,0.12794688
93,linstorch(0.14),linstorch,0.001995086669921875,0.1279469
94,linstorch(0.14),linstorch,0.0019936561584472656,0.12650953
95,linstorch(0.14),linstorch,0.001995086669921875,0.12794682
96,linstorch(0.14),linstorch,0.002992391586303711,0.12794605
97,linstorch(0.14),linstorch,0.003159046173095703,0.12794709
98,linstorch(0.14),linstorch,0.002824068069458008,0.12448783
99,linstorch(0.14),linstorch,0.002992391586303711,0.12794703
100,linstorch(0.14),linstorch,0.002991914749145508,0.10380362
