,model,type,elapsed,mse
0,linstorch(0.7),linstorch,0.015999794006347656,0.47583451867103577
1,linstorch(0.7),linstorch,0.003000020980834961,0.6542697548866272
2,linstorch(0.7),linstorch,0.0030007362365722656,0.6217589378356934
3,linstorch(0.7),linstorch,0.0169985294342041,0.6311814785003662
4,linstorch(0.7),linstorch,0.016000032424926758,0.5384817123413086
5,linstorch(0.7),linstorch,0.03400087356567383,0.4683733582496643
6,linstorch(0.7),linstorch,0.013001203536987305,0.5509619116783142
7,linstorch(0.7),linstorch,0.023001670837402344,0.6699215173721313
8,linstorch(0.7),linstorch,0.001997232437133789,0.7433179616928101
9,linstorch(0.7),linstorch,0.029999732971191406,0.5051748752593994
10,linstorch(0.7),linstorch,0.026999473571777344,0.6047114729881287
11,linstorch(0.7),linstorch,0.02000117301940918,0.6880388855934143
12,linstorch(0.7),linstorch,0.009999752044677734,0.5564570426940918
13,linstorch(0.7),linstorch,0.02100205421447754,0.5088769793510437
14,linstorch(0.7),linstorch,0.004000663757324219,0.4575483798980713
15,linstorch(0.7),linstorch,0.0209963321685791,0.6567678451538086
16,linstorch(0.7),linstorch,0.010004043579101562,0.5898603796958923
17,linstorch(0.7),linstorch,0.012998580932617188,0.5423300862312317
18,linstorch(0.7),linstorch,0.020000934600830078,0.523380696773529
19,linstorch(0.7),linstorch,0.02699875831604004,0.6041467785835266
20,linstorch(0.7),linstorch,0.004999399185180664,0.7071833610534668
21,linstorch(0.7),linstorch,0.004999876022338867,0.581914484500885
22,linstorch(0.7),linstorch,0.003001689910888672,0.5862562656402588
23,linstorch(0.7),linstorch,0.00500035285949707,0.4740111529827118
24,linstorch(0.7),linstorch,0.02700042724609375,0.5438332557678223
25,linstorch(0.7),linstorch,0.014000892639160156,0.6242519021034241
26,linstorch(0.7),linstorch,0.03800153732299805,0.6502113342285156
27,linstorch(0.7),linstorch,0.014998912811279297,0.6279035210609436
28,linstorch(0.7),linstorch,0.00699925422668457,0.6525704264640808
29,linstorch(0.7),linstorch,0.0019989013671875,0.557998538017273
30,linstorch(0.7),linstorch,0.0030012130737304688,0.48098984360694885
31,linstorch(0.7),linstorch,0.0390009880065918,0.5866828560829163
32,linstorch(0.7),linstorch,0.0029964447021484375,0.46538278460502625
33,linstorch(0.7),linstorch,0.030000925064086914,0.6697573065757751
34,linstorch(0.7),linstorch,0.01399850845336914,0.637462854385376
35,linstorch(0.7),linstorch,0.004999399185180664,0.46700572967529297
36,linstorch(0.7),linstorch,0.007000923156738281,0.7303676605224609
37,linstorch(0.7),linstorch,0.021997928619384766,0.6696838140487671
38,linstorch(0.7),linstorch,0.002000093460083008,0.5977125763893127
39,linstorch(0.7),linstorch,0.005998373031616211,0.5446305274963379
40,linstorch(0.7),linstorch,0.019998788833618164,0.6432752013206482
41,linstorch(0.7),linstorch,0.028000593185424805,0.6246297955513
42,linstorch(0.7),linstorch,0.012998342514038086,0.7249165177345276
43,linstorch(0.7),linstorch,0.019998550415039062,0.6720677018165588
44,linstorch(0.7),linstorch,0.028001070022583008,0.7337012887001038
45,linstorch(0.7),linstorch,0.00799870491027832,0.5736571550369263
46,linstorch(0.7),linstorch,0.0039997100830078125,0.5912961363792419
47,linstorch(0.7),linstorch,0.002997159957885742,0.6710854172706604
48,linstorch(0.7),linstorch,0.005000591278076172,0.5793563723564148
49,linstorch(0.7),linstorch,0.014000177383422852,0.7019939422607422
50,linstorch(0.7),linstorch,0.04000067710876465,0.4237167239189148
51,linstorch(0.7),linstorch,0.01799774169921875,0.5630783438682556
52,linstorch(0.7),linstorch,0.00700068473815918,0.5955364108085632
53,linstorch(0.7),linstorch,0.007000923156738281,0.5784493684768677
54,linstorch(0.7),linstorch,0.0060007572174072266,0.7317613959312439
55,linstorch(0.7),linstorch,0.0070018768310546875,0.5938318371772766
56,linstorch(0.7),linstorch,0.006000995635986328,0.41681766510009766
57,linstorch(0.7),linstorch,0.011999130249023438,0.47236132621765137
58,linstorch(0.7),linstorch,0.007002115249633789,0.6687538623809814
59,linstorch(0.7),linstorch,0.003998517990112305,0.7237868309020996
60,linstorch(0.7),linstorch,0.011999368667602539,0.6434051394462585
61,linstorch(0.7),linstorch,0.009000062942504883,0.6364303827285767
62,linstorch(0.7),linstorch,0.10499835014343262,0.6124441027641296
63,linstorch(0.7),linstorch,0.006001710891723633,0.44959554076194763
64,linstorch(0.7),linstorch,0.00400090217590332,0.5632053017616272
65,linstorch(0.7),linstorch,0.040999412536621094,0.5490128993988037
66,linstorch(0.7),linstorch,0.06400108337402344,0.4657764434814453
67,linstorch(0.7),linstorch,0.017998456954956055,0.4661491811275482
68,linstorch(0.7),linstorch,0.011001348495483398,0.6540122032165527
69,linstorch(0.7),linstorch,0.013999700546264648,0.6353459358215332
70,linstorch(0.7),linstorch,0.04800128936767578,0.5148727297782898
71,linstorch(0.7),linstorch,0.003000497817993164,0.5895959734916687
72,linstorch(0.7),linstorch,0.005997180938720703,0.536650538444519
73,linstorch(0.7),linstorch,0.004995822906494141,0.5170114040374756
74,linstorch(0.7),linstorch,0.004001140594482422,0.4166015684604645
75,linstorch(0.7),linstorch,0.02000117301940918,0.5659716129302979
